Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered,Country,Program,Policy Type,Decision Authority,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Supplier,Primary Borrower,Primary Buyer,Primary Source of Repayment,Working Capital Delegaed Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Loan Interest Rate,First Claim Payment Date,Claim Paid Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Fiscal Year
08082009XC0001,AP082009XC,Approved,09/07/2010,,08/10/2011,N,United States,Working Capital,,Individual Delegated Authority,Gaskets - Packing - and Sealing Devices,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,Susquehanna Capital Acquisition Company,Susquehanna Capital Acquisition Company,Susquehanna Capital Acquisition Company,Unknown,"Interface Solutions, Inc.",Yes,$4050000.00,$4050000.00,$0.00,$0.00,,,,$4050000.00,$0.00,$0.00,2010
08082082XD0001,AP082082XD,Approved,12/30/2009,,07/31/2010,N,United States,Working Capital,,Individual Delegated Authority,Surgical and Medical Instruments and Apparatus,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na","Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.",Unknown,"Polymer Technology Systems, Inc.",Yes,$4680000.00,$4680000.00,$0.00,$0.00,,,,$4680000.00,$0.00,$0.00,2010
08082082XD0002,AP082082XD,Approved,08/11/2010,,08/31/2010,N,United States,Working Capital,,Individual Delegated Authority,Surgical and Medical Instruments and Apparatus,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na","Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.","Polymer Technology Systems, Inc.",Unknown,"Polymer Technology Systems, Inc.",Yes,$4680000.00,$4680000.00,$0.00,$0.00,,,,$4680000.00,$0.00,$0.00,2010
08082090XA0003,AP082090XA,Approved,09/27/2010,,09/30/2011,N,United States,Working Capital,,Individual Delegated Authority,Plastics Products - NEC,Short Term,Wells Fargo Bank Minnesota Na,Wells Fargo Capital Finance,C V Holdings Llc,C V Holdings Llc,C V Holdings Llc,Unknown,C V Holdings Llc,Yes,$2250000.00,$2250000.00,$0.00,$0.00,,,,$2250000.00,$0.00,$0.00,2010
08082115XD0001,AP082115XD,Approved,12/30/2009,,11/12/2010,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",Gtc Technology Lp,Gtc Technology Lp,Gtc Technology Lp,Unknown,Mbt Technology International Investments,Yes,$1440000.00,$1440000.00,$0.00,$0.00,,,,$1440000.00,$0.00,$1440000.00,2010
08082127XC0002,AP082127XC,Approved,09/20/2010,,08/29/2011,N,United States,Working Capital,,Individual Delegated Authority,Computer Integrated Systems Design,Short Term,"Bridge Bank, N.A.","Bridge Bank, N.A.","E2open, Inc.","E2open, Inc.","E2open, Inc.",Unknown,"E2open, Inc.",Yes,$6750000.00,$6750000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082141XD0001,AP082141XD,Approved,01/19/2010,,11/21/2010,N,United States,Working Capital,,Individual Delegated Authority,Other Grocery And Related Products Merchant Whole,Short Term,Gbc International Bank,Gbc International Bank,"Clp Group, Llc","Clp Group, Llc","Clp Group, Llc",Unknown,"Clp Group, Llc",Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$450000.00,2010
08082189XE0001,AP082189XE,Approved,12/30/2009,,05/05/2010,N,United States,Working Capital,,Individual Delegated Authority,Other Commercial Equipment Merchant Wholesalers,Short Term,"Bank Of Texas, National Association","Bank Of Texas, National Association",North American Trade Corporati,North American Trade Corporati,North American Trade Corporati,Unknown,North American Trade Corporati,Yes,$900000.00,$900000.00,$0.00,$0.00,,,,$900000.00,$0.00,$900000.00,2010
08082189XF0001,AP082189XF,Approved,08/02/2010,,05/05/2011,N,United States,Working Capital,,Individual Delegated Authority,Other Commercial Equipment Merchant Wholesalers,Short Term,"Bank Of Texas, National Association","Bank Of Texas, National Association",North American Trade Corporati,North American Trade Corporati,North American Trade Corporati,Unknown,North American Trade Corporati,Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$450000.00,2010
08082310XB0002,AP082310XB,Approved,09/15/2010,,08/07/2011,N,United States,Working Capital,,Individual Delegated Authority,Electromedical and Electrotherapeutic Apparatus,Short Term,Comerica Incorporated,Comerica Bank Texas,"Mcri, Inc.","Mcri, Inc.","Mcri, Inc.",Unknown,"On-X Life Technologies, Inc.",Yes,$2250000.00,$2250000.00,$0.00,$0.00,,,,$2250000.00,$0.00,$0.00,2010
08082315XE0001,AP082315XE,Approved,03/17/2010,,10/31/2010,N,United States,Working Capital,,Individual Delegated Authority,All Other Miscellaneous Fabricated Metal Product Manufacturing,Short Term,Fifth Third Bancorp,Fifth Third Bancorp,Shape Dynamics International Inc,Shape Dynamics International Inc,Shape Dynamics International Inc,Unknown,Shape Dynamics International Inc,Yes,$4500000.00,$4500000.00,$0.00,$0.00,,,,$4500000.00,$0.00,$0.00,2010
08082327XC0001,AP082327XC,Approved,04/01/2010,,02/14/2011,N,United States,Working Capital,,Individual Delegated Authority,Instruments for Measuring and Testing of Electrici,Short Term,Silicon Valley Bancshares,Silicon Valley Bancshares,Microwave Instrumentation Tech,Microwave Instrumentation Tech,Microwave Instrumentation Tech,Unknown,Microwave Instrumentation Tech,Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$0.00,2010
08082356XA0003,AP082356XA,Approved,08/16/2010,,01/22/2011,N,United States,Working Capital,,Individual Delegated Authority,Folding Paperboard Boxes - including Sanitary,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Arkay Packaging Corp,Arkay Packaging Corp,Arkay Packaging Corp,Unknown,Arkay Packaging Corp,Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$1800000.00,$0.00,$0.00,2010
08082362XA0003,AP082362XA,Approved,09/20/2010,,01/14/2011,N,United States,Working Capital,,Individual Delegated Authority,Search - Detection - Navigation - Guidance - Aernautic,Short Term,U.S. Bancorp,U.S. Bank National Association,Weather Modification Inc,Weather Modification Inc,Weather Modification Inc,Unknown,Sfh Inc,Yes,$2250000.00,$2250000.00,$0.00,$0.00,,,,$2250000.00,$0.00,$0.00,2010
08082367XA0002,AP082367XA,Approved,04/29/2010,,05/07/2010,N,Mexico,Guarantee,,Board,Aircraft,Medium Term,Citigroup Inc.,"Banco Nacional De Mexico, S.A.",Various - United States Suppliers,Various - United States Suppliers,Aeronaves De Mexico Sa,Aeronaves De Mexico Sa,Aeronaves De Mexico Sa,No,$12000.00,$0.00,$0.00,$0.00,,,,$3733.20,$0.00,$0.00,2010
08082381XX0004,AP082381XX,Approved,02/24/2010,,04/25/2010,N,Turkey,Guarantee,,Board,Aircraft Manufacturing,Long Term,Pegasus Hava Tasimaciligi A.S.,"Jpmorgan Chase Bank, N.A.","Boeing Company, The","Boeing Company, The",Spv/Pegasus Airlines,Spv/Pegasus Airlines,Esas Holding A S,No,$34376179.14,$34246008.59,$0.00,$24935793.26,,,,$0.00,$0.00,$0.00,2010
08082414XB0003,AP082414XX,Approved,12/02/2009,,12/14/2009,N,United States,Working Capital,,Individual Delegated Authority,Telephone and Telegraph Apparatus,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,Patton Electronics Co Inc,Patton Electronics Co Inc,Patton Electronics Co Inc,Unknown,Patton Electronics Co Inc,Yes,$4050000.00,$4050000.00,$0.00,$0.00,,,,$4050000.00,$0.00,$0.00,2010
08082414XC0001,AP082414XC,Approved,12/30/2009,,01/09/2011,N,United States,Working Capital,,Individual Delegated Authority,Telephone and Telegraph Apparatus,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,Patton Electronics Co Inc,Patton Electronics Co Inc,Patton Electronics Co Inc,Unknown,Patton Electronics Co Inc,Yes,$4050000.00,$4050000.00,$0.00,$0.00,,,,$4050000.00,$0.00,$0.00,2010
08082462XB0001,AP082462XB,Approved,03/29/2010,,03/01/2011,N,United States,Working Capital,,Individual Delegated Authority,Other Measuring And Controlling Device Manufacturing,Short Term,Sovereign Bank,Sovereign Bank,Kahn Industries Export Sales Corporation,Kahn Industries Export Sales Corporation,Kahn Industries Export Sales Corporation,Unknown,"Kahn & Company, Incorporated",Yes,$1800000.00,$180000000.00,$-178200000.00,$178200000.00,,,,$1800000.00,$0.00,$0.00,2010
08082477XB0002,AP082477XB,Approved,09/23/2010,,04/11/2011,N,United States,Working Capital,,Individual Delegated Authority,Construction and Mining Machinery and Equipment,Short Term,Amegy Bank National Association,Amegy Bank National Association,Ceca Supply & Services Inc.,Ceca Supply & Services Inc.,Ceca Supply & Services Inc.,Unknown,"Touma, Maher",Yes,$6300000.00,$6300000.00,$0.00,$0.00,,,,$6300000.00,$0.00,$6300000.00,2010
08082481XB0004,AP082481XB,Approved,12/22/2009,,02/20/2010,N,United States,Working Capital,,Individual Delegated Authority,Special Dies and Tools - Die Sets - Jigs and Fixture,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",Service Tool International,Service Tool International,Service Tool International,Unknown,Service Tool International,Yes,$2700000.00,$2700000.00,$0.00,$0.00,,06/23/2010,$1259139.69,$2700000.00,$0.00,$0.00,2010
08082520XD0001,AP082520XD,Approved,09/17/2010,,10/21/2011,N,United States,Working Capital,,Individual Delegated Authority,Drugs - Drug Proprietaries. and Druggists' Sundries,Short Term,Gbc International Bank,Gbc International Bank,"Valley Of The Sun Cosmetics, Llc","Valley Of The Sun Cosmetics, Llc","Valley Of The Sun Cosmetics, Llc",Unknown,"Shehzad, Ajmal",Yes,$855000.00,$855000.00,$0.00,$0.00,,,,$855000.00,$0.00,$855000.00,2010
08082558XC0001,AP082558XC,Approved,05/04/2010,,07/31/2010,N,United States,Working Capital,,Individual Delegated Authority,Pump And Pumping Equipment Manufacturing,Short Term,City National Bank,City National Bank,"Aquatec International, Inc.","Aquatec International, Inc.","Aquatec International, Inc.",Unknown,"Aquatec International, Inc.",Yes,$2160000.00,$2160000.00,$0.00,$0.00,,,,$2160000.00,$0.00,$0.00,2010
08082558XD0001,AP082558XD,Approved,09/16/2010,,08/01/2011,N,United States,Working Capital,,Individual Delegated Authority,Pumps and Pumping Equipment,Short Term,City National Bank,City National Bank,"Aquatec International, Inc.","Aquatec International, Inc.","Aquatec International, Inc.",Unknown,"Aquatec International, Inc.",Yes,$2160000.00,$2160000.00,$0.00,$0.00,,,,$2160000.00,$0.00,$0.00,2010
08082565XC0001,AP082565XC,Approved,10/16/2009,,11/30/2010,N,United States,Working Capital,,Individual Delegated Authority,Prepared Feeds and Feed Ingredients for Animals an,Short Term,"Bremer Bank, National Association","Bremer Bank, National Association",Midwest Ag Enterprises Inc,Midwest Ag Enterprises Inc,Midwest Ag Enterprises Inc,Unknown,Midwest Ag Enterprises Inc,Yes,$300000.00,$300000.00,$0.00,$0.00,,,,$300000.00,$0.00,$0.00,2010
08082619XA0002,AP082619XA,Approved,01/12/2010,,03/31/2011,N,United States,Working Capital,,Board,Metalworking Machinery - NEC,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Aquatech International Corporation,Aquatech International Corporation,Aquatech International Corporation,Unknown,Aquatech International Corporation,No,$8550000.00,$8550000.00,$0.00,$0.00,,,,$8550000.00,$8550000.00,$8550000.00,2010
08082619XA0003,AP082619XA,Approved,04/12/2010,,06/29/2011,N,United States,Working Capital,,Board,Metalworking Machinery - NEC,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association",Aquatech International Corporation,Aquatech International Corporation,Aquatech International Corporation,Unknown,Aquatech International Corporation,No,$33300000.00,$33300000.00,$0.00,$0.00,,,,$33300000.00,$33300000.00,$33300000.00,2010
08082673XB0002,AP082673XB,Approved,11/16/2009,,12/01/2009,N,United States,Working Capital,,Individual Delegated Authority,Computers and Computer Peripheral Equipment and So,Short Term,Bank Leumi Usa,Bank Leumi Usa,Qbex Electronics Corporation,Qbex Electronics Corporation,Qbex Electronics Corporation,Unknown,Qbex Electronics Corporation,Yes,$3150000.00,$3150000.00,$0.00,$0.00,,,,$3150000.00,$0.00,$3150000.00,2010
08082673XC0001,AP082673XC,Approved,02/25/2010,,11/01/2010,N,United States,Working Capital,,Individual Delegated Authority,Computers and Computer Peripheral Equipment and So,Short Term,Bank Leumi Usa,Bank Leumi,Qbex Electronics Corporation,Qbex Electronics Corporation,Qbex Electronics Corporation,Unknown,Qbex Electronics Corporation,Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$3600000.00,2010
08082674XC0001,AP082674XC,Approved,04/01/2010,,02/14/2011,N,United States,Working Capital,,Individual Delegated Authority,Prepackaged Software,Short Term,Silicon Valley Bancshares,Silicon Valley Bancshares,Softscape Inc.,Softscape Inc.,Softscape Inc.,Unknown,"Watkins, Henry",Yes,$2385000.00,$2385000.00,$0.00,$0.00,,,,$2385000.00,$0.00,$0.00,2010
08082674XC0002,AP082674XC,Approved,04/27/2010,,02/14/2011,N,United States,Working Capital,,Individual Delegated Authority,Prepackaged Software,Short Term,Silicon Valley Bancshares,Silicon Valley Bancshares,Softscape Inc.,Softscape Inc.,Softscape Inc.,Unknown,"Watkins, Henry",Yes,$115000.20,$115000.20,$0.00,$0.00,,,,$115000.20,$0.00,$0.00,2010
08082682XA0002,AP082682XA,Approved,09/28/2010,,06/12/2011,N,United States,Working Capital,,Individual Delegated Authority,Management Services,Short Term,Wells Fargo Bank Texas Na,Wells Fargo Bank Texas Na,Great Lakes Dredge & Dock Company Llc,Great Lakes Dredge & Dock Company Llc,Great Lakes Dredge & Dock Company Llc,Unknown,Great Lakes Dredge & Dock Company Llc,Yes,$21600000.00,$21600000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082696XD0001,AP082696XD,Approved,06/29/2010,,10/24/2011,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,Amegy Bank National Association,Amegy Bank National Association,Gulf Interstate Engineering Co,Gulf Interstate Engineering Co,Gulf Interstate Engineering Co,Unknown,Gulf International Corp*,Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082700XA0002,AP082700XA,Approved,07/28/2010,,03/31/2011,N,United States,Working Capital,,Individual Delegated Authority,Metal Stampings - NEC,Short Term,"Pnc Bank, National Association",P N C Business Credit,Intri-Plex Technologies Inc.,Intri-Plex Technologies Inc.,Intri-Plex Technologies Inc.,Unknown,Aerotech Heat Treating Company Inc.,Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$0.00,2010
08082704XA0002,AP082704XX,Approved,07/06/2010,,01/30/2011,N,United States,Working Capital,,Individual Delegated Authority,Industrial Inorganic Chemicals - NEC,Short Term,"Pnc Bank, N.A.","Pnc Bank, N.A.",Hammond Group,Hammond Group,Hammond Group,Unknown,Hammond Group,Yes,$4500000.00,$4500000.00,$0.00,$0.00,,,,$4500000.00,$0.00,$0.00,2010
08082709XC0001,AP082709XC,Approved,09/22/2010,,08/30/2011,N,United States,Working Capital,,Individual Delegated Authority,Meats and Meat Products,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na","Northern Beef Industries, Inc.","Northern Beef Industries, Inc.","Northern Beef Industries, Inc.",Unknown,"Henhaus, Inc.",Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$0.00,2010
08082738XB0001,AP082738XB,Approved,06/22/2010,,07/30/2010,N,United States,Working Capital,,Individual Delegated Authority,Switchgear and Switchboard Apparatus,Short Term,Bank Of America Na,Bank Of America Na,Pacs Industries Inc,Pacs Industries Inc,Pacs Industries Inc,Unknown,Pacs Industries Inc Of Ohio,Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$0.00,2010
08082738XB0002,AP082738XB,Approved,07/07/2010,,04/02/2011,N,United States,Working Capital,,Individual Delegated Authority,Switchgear and Switchboard Apparatus,Short Term,Bank Of America Na,Bank Of America Na,Pacs Industries Inc,Pacs Industries Inc,Pacs Industries Inc,Unknown,Pacs Industries Inc Of Ohio,Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$0.00,2010
08082749XA0002,AP082749XA,Approved,09/17/2010,,11/29/2011,N,United States,Working Capital,,Individual Delegated Authority,Groceries - General Line,Short Term,Bank Of America Na,Bank Of America Na,Rastelli Brothers Inc.,Rastelli Brothers Inc.,Rastelli Brothers Inc.,Unknown,Rastelli Brothers Inc.,Yes,$22500000.00,$22500000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082772XB0002,AP082772XB,Approved,03/22/2010,,05/15/2010,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,Citizens Bank Of Massachusetts,Citizens Bank Of Massachusetts,Vulcan International Inc.,Vulcan International Inc.,Vulcan International Inc.,Unknown,Vulcan International Inc.,Yes,$630000.00,$630000.00,$0.00,$0.00,,,,$630000.00,$0.00,$0.00,2010
08082772XC0001,AP082772XC,Approved,09/03/2010,,11/15/2010,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,Citizens Bank Of Massachusetts,Citizens Bank Of Massachusetts,Vulcan International Inc.,Vulcan International Inc.,Vulcan International Inc.,Unknown,Vulcan International Inc.,Yes,$630000.00,$630000.00,$0.00,$0.00,,,,$630000.00,$0.00,$0.00,2010
08082852XC0001,AP082852XC,Approved,05/13/2010,,07/03/2011,N,United States,Working Capital,,Individual Delegated Authority,Motion Picture and Video Tape Distribution,Short Term,Gbc International Bank,Gbc International Bank,Marvista Entertainment,Marvista Entertainment,Marvista Entertainment,Unknown,"Jacobs, Michael",Yes,$855000.00,$855000.00,$0.00,$0.00,,,,$855000.00,$0.00,$0.00,2010
08082885XA0001,AP082885XA,Approved,04/14/2010,,06/30/2010,N,United States,Working Capital,,Individual Delegated Authority,Saw Blade and Handtool Manufacturing,Short Term,Wells Fargo Bank Minnesota Na,"Wells Fargo Business Credit, Inc.",Disston Company,Disston Company,Disston Company,Unknown,Disston Company,Yes,$540000.00,$540000.00,$0.00,$0.00,,,,$540000.00,$0.00,$540000.00,2010
08082885XX0004,AP082885XX,Approved,12/04/2009,,03/13/2010,N,United States,Working Capital,,Individual Delegated Authority,Saw Blades and Handsaws,Short Term,Wells Fargo Bank Minnesota Na,"Wells Fargo Business Credit, Inc.",Disston Company,Disston Company,Disston Company,Unknown,Disston Company,Yes,$900000.00,$900000.00,$0.00,$0.00,,,,$900000.00,$0.00,$900000.00,2010
08082889XC0001,AP082889XC,Approved,10/21/2009,,03/01/2010,N,United States,Working Capital,,Individual Delegated Authority,Farm Supplies Merchant Wholesalers,Short Term,Comerica Incorporated,Comerica Bank,"Shamrock Seed Co., Inc.","Shamrock Seed Co., Inc.","Shamrock Seed Co., Inc.",Unknown,"Shamrock Seed Co., Inc.",Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$1800000.00,$0.00,$0.00,2010
08082889XD0001,AP082889XD,Approved,04/12/2010,,03/01/2011,N,United States,Working Capital,,Individual Delegated Authority,Farm Supplies Merchant Wholesalers,Short Term,Comerica Incorporated,Comerica Bank,"Shamrock Seed Co., Inc.","Shamrock Seed Co., Inc.","Shamrock Seed Co., Inc.",Unknown,The Frazier Family Trust,Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$1800000.00,$0.00,$0.00,2010
08082918XC0001,AP082918XC,Approved,11/17/2009,,11/28/2010,N,United States,Working Capital,,Individual Delegated Authority,Industrial Instruments for Measurement - Display -,Short Term,Amegy Bank National Association,Amegy Bank National Association,"Hpi, Llc","Hpi, Llc","Hpi, Llc",Unknown,"Hpi, Llc",Yes,$3600000.00,$3600000.00,$0.00,$0.00,,,,$3600000.00,$0.00,$0.00,2010
08082958XB0001,AP082958XB,Approved,02/24/2010,,04/05/2010,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,Bank Of America Na,Bank Of America Na,Information Systems Labs,Information Systems Labs,Information Systems Labs,Unknown,"Willow Tech Solutions, Inc.",Yes,$7200000.00,$7200000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082958XB0002,AP082958XB,Approved,07/07/2010,,11/05/2010,N,United States,Working Capital,,Individual Delegated Authority,Engineering Services,Short Term,Bank Of America Na,Bank Of America Na,Information Systems Labs,Information Systems Labs,Information Systems Labs,Unknown,"Willow Tech Solutions, Inc.",Yes,$7200000.00,$7200000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08082993XC0001,AP082993XC,Approved,06/10/2010,,01/29/2011,N,United States,Working Capital,,Individual Delegated Authority,Oil and Gas Field Services - NEC,Short Term,Comerica Bank,Comerica Bank,Tdi-Brooks International Inc,Tdi-Brooks International Inc,Tdi-Brooks International Inc,Unknown,Tdi-Brooks International Inc,Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$1800000.00,$0.00,$0.00,2010
08083054XB0002,AP083054XB,Approved,04/15/2010,,08/06/2010,N,United States,Working Capital,,Individual Delegated Authority,Plastics Foam Products,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,"Commodore Technology, Llc","Commodore Technology, Llc","Commodore Technology, Llc",Unknown,"Cp Holding Group, Inc.",Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$0.00,2010
08083054XB0003,AP083054XB,Approved,08/18/2010,,12/07/2010,N,United States,Working Capital,,Individual Delegated Authority,Plastics Foam Products,Short Term,Manufacturers And Traders Trust Company,Manufacturers And Traders Trust Company,"Commodore Technology, Llc","Commodore Technology, Llc","Commodore Technology, Llc",Unknown,"Cp Holding Group, Inc.",Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$0.00,2010
08083055XC0001,AP083055XC,Approved,01/27/2010,,12/27/2010,N,United States,Working Capital,,Individual Delegated Authority,Software Publishers,Short Term,Silicon Valley Bancshares,Silicon Valley Bancshares,Datacore Software Corporation,Datacore Software Corporation,Datacore Software Corporation,Unknown,Datacore Software Corporation,Yes,$1800000.00,$1800000.00,$0.00,$0.00,,,,$1800000.00,$0.00,$0.00,2010
08083083XC0002,AP083083XC,Approved,10/30/2009,,02/28/2010,N,United States,Working Capital,,Individual Delegated Authority,Lumber - Plywood - Millwork - and Wood Panels,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,Unknown,T J Ellis Enterprises Inc.,Yes,$3150000.00,$3150000.00,$0.00,$0.00,,,,$3150000.00,$0.00,$0.00,2010
08083083XC0003,AP083083XC,Approved,03/05/2010,,06/30/2010,N,United States,Working Capital,,Individual Delegated Authority,Lumber - Plywood - Millwork - and Wood Panels,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,Unknown,T J Ellis Enterprises Inc.,Yes,$3150000.00,$3150000.00,$0.00,$0.00,,,,$3150000.00,$0.00,$0.00,2010
08083083XC0004,AP083083XC,Approved,07/30/2010,,11/30/2010,N,United States,Working Capital,,Individual Delegated Authority,Lumber - Plywood - Millwork - and Wood Panels,Short Term,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,T J Ellis Enterprises Inc.,Unknown,T J Ellis Enterprises Inc.,Yes,$3150000.00,$3150000.00,$0.00,$0.00,,,,$3150000.00,$0.00,$0.00,2010
08083087XC0001,AP083087XC,Approved,01/16/2010,,07/15/2010,N,United States,Working Capital,,Individual Delegated Authority,Industrial Machinery And Equipment Merchant Whole,Short Term,Branch Banking And Trust Company,Branch Banking And Trust Company,"Kanawha Scales & Systems, Inc.","Kanawha Scales & Systems, Inc.","Kanawha Scales & Systems, Inc.",Unknown,"Kanawha Scales & Systems Of Alabama, Inc",Yes,$4455000.00,$4455000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08083106XA0001,AP083106XA,Approved,06/28/2010,,12/14/2010,N,United States,Working Capital,,Individual Delegated Authority,Fluid Power Pumps and Motors,Short Term,"Jpmorgan Chase Bank, N.A.","Jpmorgan Chase Bank, N.A.",Oilgear Company,Oilgear Company,Oilgear Company,Unknown,Oilgear Company,Yes,$10800000.00,$10800000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08083106XX0005,AP083106XX,Approved,02/24/2010,,02/16/2010,N,United States,Working Capital,,Individual Delegated Authority,Fluid Power Pumps and Motors,Short Term,"Jpmorgan Chase Bank, N.A.","Jpmorgan Chase Bank, N.A.",Oilgear Company,Oilgear Company,Oilgear Company,Unknown,Oilgear Company,Yes,$1350000.00,$1350000.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,2010
08083109XA0001,AP083109XA,Approved,01/21/2010,,12/26/2010,N,United States,Working Capital,,Individual Delegated Authority,Computer Systems Design Services,Short Term,"Pnc Bank, National Association","Pnc Bank, National Association","Tgs Heathcare Solutions, Llc",Tekmark Global Solutions Llc,"Tgs Heathcare Solutions, Llc",Unknown,"Tekmark Global Solutions, Uk Limited",Yes,$2700000.00,$2700000.00,$0.00,$0.00,,,,$0.00,$2700000.00,$0.00,2010
08083118XC0001,AP083118XC,Approved,09/20/2010,,07/25/2011,N,United States,Working Capital,,Individual Delegated Authority,Poultry and Poultry Products,Short Term,East West Bank,East West Bank,Globex International Inc,Globex International Inc,Globex International Inc,Unknown,"Globex International Holdings, Inc.",Yes,$4500000.00,$4500000.00,$0.00,$0.00,,,,$4500000.00,$0.00,$0.00,2010
08083146XB0002,AP083146XB,Approved,06/09/2010,,09/12/2010,N,United States,Working Capital,,Individual Delegated Authority,Welding Repairs,Short Term,Frost National,Frost National,"Sana-Int, Inc.","Sana-Int, Inc.","Sana-Int, Inc.",Unknown,"Sanchez, Jorge G.",Yes,$450000.00,$0.00,$0.00,$0.00,,,,$450000.00,$0.00,$450000.00,2010
08083146XB0003,AP083146XB,Approved,06/09/2010,,09/12/2010,N,United States,Working Capital,,Individual Delegated Authority,Welding Repairs,Short Term,Frost National,Frost National,"Sana-Int, Inc.","Sana-Int, Inc.","Sana-Int, Inc.",Unknown,"Sanchez, Jorge G.",Yes,$450000.00,$450000.00,$0.00,$0.00,,,,$450000.00,$0.00,$450000.00,2010
08083158XX0001,AP083158XX,Approved,03/09/2010,,08/15/2010,N,Indonesia,Guarantee,,Board,Aircraft Manufacturing,Long Term,"Lion Mentari, Pt",Ex-Im Bank,"Boeing Company, The",Cfm International Inc,Spv/Pt Lion Mentari,Spv/Pt Lion Mentari,Pt Wings Abadi Air,No,$129292730.10,$129292730.10,$0.00,$102698832.90,,,,$0.00,$0.00,$0.00,2010
08083158XX0002,AP083158XX,Approved,03/09/2010,,11/15/2010,N,Indonesia,Guarantee,,Board,Aircraft Manufacturing,Long Term,"Lion Mentari, Pt","Toronto-Dominion Bank, The","Boeing Company, The",Cfm International Inc,Spv/Pt Lion Mentari,Spv/Pt Lion Mentari,Pt Wings Abadi Air,No,$199000000.00,$193607202.00,$0.00,$156777994.90,,,,$0.00,$0.00,$0.00,2010
08083178XB0001,AP083178XB,Approved,12/03/2009,,11/06/2010,N,United States,Working Capital,,Individual Delegated Authority,Recyclable Material Merchant Wholesalers,Short Term,Bank Of America Na,Bank Of America Na,Prism International Inc,Prism International Inc,Prism International Inc,Unknown,"Iyer, Meera",Yes,$877500.00,$877500.00,$0.00,$0.00,,,,$877500.00,$0.00,$877500.00,2010
